378918.332000	 4293791.690000	  38.784555
378173.265000	 4293782.220000	  38.784368
377491.807000	 4293773.450000	  38.784194
376860.983000	 4293799.440000	  38.784340
376287.257000	 4293898.890000	  38.785156
375716.731000	 4293573.080000	  38.782141
375265.445000	 4293943.530000	  38.785414
374717.949000	 4294023.900000	  38.786061
374356.054000	 4293577.390000	  38.781987
373746.159000	 4293800.080000	  38.783906
373170.127000	 4293983.230000	  38.785473
372752.127000	 4293477.740000	  38.780859
372181.632000	 4293609.820000	  38.781966
371601.958000	 4293731.930000	  38.782982
371014.471000	 4293850.210000	  38.783962
370599.706000	 4293390.150000	  38.779757
369992.203000	 4293523.510000	  38.780869
369378.064000	 4293664.790000	  38.782051
368753.157000	 4293817.260000	  38.783331
368083.964000	 4293962.590000	  38.784541
367574.094000	 4294344.180000	  38.787902
367175.490000	 4294654.810000	  38.790640
384998.654000	 4294605.300000	  38.792700
384291.582000	 4294557.250000	  38.792174
383598.329000	 4294513.370000	  38.791688
